symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
ANET,momentum_breakout,breakout,2,2025-01-07,119.81,2025-01-13,112.78,stop_loss,2.1191,False,6,-15.9,-6.26,67.34349158007653,1.6767260488462568,0
BMY,momentum_breakout,breakout,3,2024-09-30,46.99,2025-02-14,50.76,trailing_stop,5.8133,True,137,34.38,12.59,65.23368244248587,2.0126884659206086,1
QQQ,momentum_breakout,breakout,3,2024-12-19,517.02,2025-03-03,494.13,stop_loss,0.5764,False,74,-14.2,-4.76,62.05890430173005,2.0346385315306823,0
PANW,momentum_breakout,breakout,3,2025-02-18,197.9,2025-03-03,187.26,trailing_stop,1.5133,False,13,-17.09,-5.71,57.2689327250059,2.238587428768945,0
JPM,momentum_breakout,breakout,3,2025-01-16,246.77,2025-03-04,244.29,trailing_stop,1.1878,False,47,-3.95,-1.35,66.04328990506792,1.8187410626747722,0
ISRG,momentum_breakout,breakout,3,2024-05-31,405.34,2025-03-06,548.86,trailing_stop,0.4799,True,279,50.83,26.13,63.08606701689694,1.5490063615380285,1
MCD,momentum_breakout,breakout,3,2025-03-10,308.86,2025-03-11,299.25,stop_loss,0.4949,False,1,-5.76,-3.77,69.5909306139616,1.9669011662930702,0
AON,momentum_breakout,breakout,3,2025-03-04,406.74,2025-03-17,387.74,stop_loss,0.6967,False,13,-14.24,-5.02,78.38897801558431,1.8780929607472099,0
PG,momentum_breakout,breakout,3,2025-03-05,166.41,2025-03-20,160.64,stop_loss,1.7028,False,15,-10.83,-3.82,64.16183651828923,1.6233889329127584,0
CME,momentum_breakout,breakout,3,2025-03-04,246.2,2025-04-03,256.88,bearish_divergence,1.1574,False,30,11.36,3.99,72.28322516160544,1.53597794027819,1
CVX,mean_reversion,oversold,2,2024-12-20,131.06,2025-04-04,142.42,trailing_stop,0.8605,True,105,9.47,8.39,29.092223362531794,1.8573511895072339,1
JPM,mean_reversion,oversold,2,2025-03-12,227.33,2025-04-04,219.14,trailing_stop,0.6738,False,23,-6.52,-4.26,27.7160752629818,1.7110339669902381,0
BRK-B,momentum_breakout,breakout,3,2025-03-24,523.62,2025-04-04,497.2,stop_loss,0.5186,False,11,-14.7,-5.41,71.07018969855716,1.5784083678932792,0
AMT,momentum_breakout,breakout,3,2025-04-07,206.14,2025-04-08,196.93,stop_loss,1.3168,False,1,-13.12,-4.83,71.70058084289029,2.8717632624105227,0
UNH,momentum_breakout,breakout,3,2025-04-04,523.35,2025-04-17,521.22,trailing_stop,0.5196,False,13,-2.1,-0.77,65.01438488356985,1.5237328966710002,0
LMT,momentum_breakout,breakout,3,2025-04-23,449.3,2025-04-30,458.72,bearish_divergence,0.5955,False,7,4.61,1.72,50.28158232088817,1.6302485307654182,1
DUK,momentum_breakout,breakout,2,2025-03-18,113.85,2025-05-13,109.04,stop_loss,2.3405,False,56,-12.26,-4.6,65.79884333880196,1.6429440894126761,0
PLTR,momentum_breakout,breakout,3,2025-05-07,108.08,2025-05-14,130.05,bearish_divergence,1.1033,True,7,21.78,18.26,58.49445460434057,1.7376588812763056,1
COIN,momentum_breakout,breakout,3,2025-05-14,257.12,2025-06-05,244.51,trailing_stop,1.1252,False,22,-15.19,-5.25,66.907320805663,4.187784993707992,0
CMG,momentum_breakout,breakout,3,2025-06-06,52.94,2025-06-10,51.07,stop_loss,5.5503,False,4,-11.39,-3.87,57.64522876368191,1.5525462304409672,0
ORCL,momentum_breakout,breakout,3,2025-06-12,187.61,2025-07-03,233.91,bearish_divergence,1.5459,True,21,60.72,20.94,72.44963206944792,2.0256609904786766,1
DDOG,momentum_breakout,breakout,3,2025-07-07,155.15,2025-07-09,144.05,stop_loss,2.001,False,2,-23.22,-7.48,83.1813207366061,5.126747131269419,0
TJX,momentum_breakout,breakout,3,2025-04-07,117.95,2025-07-16,119.56,trailing_stop,1.9206,False,100,2.1,0.93,58.858509300904885,2.1572115328615333,1
AMD,momentum_breakout,breakout,3,2025-05-15,117.14,2025-08-13,184.24,bearish_divergence,0.8044,True,90,34.41,36.52,68.16714665619914,1.9925286807146887,1
RBLX,momentum_breakout,breakout,3,2025-05-02,71.45,2025-08-15,123.89,trailing_stop,3.9424,True,105,127.55,45.28,65.61486545793029,2.831249791580438,1
FSLR,momentum_breakout,breakout,3,2025-08-18,209.89,2025-08-21,202.97,stop_loss,1.1653,False,3,-9.07,-3.71,62.0103018213941,3.89092248584836,0
BA,momentum_breakout,breakout,3,2025-07-10,226.88,2025-09-02,237.14,bearish_divergence,1.343,False,54,12.78,4.2,68.88106097849787,1.7556443919744347,1
ICE,mean_reversion,oversold,2,2025-04-09,148.71,2025-09-23,167.3,trailing_stop,1.6833,True,167,27.03,10.8,28.805062781390518,1.5655081249636846,1
