symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
V,momentum_breakout,breakout,3,2024-03-22,277.9800109863281,2024-04-04,271.64,stop_loss,0.361729923511018,0.36,False,,13,-2.29,-2.28,277.98,61.29836448850165,1.5402067030987852,1514.03,0
ANET,momentum_breakout,breakout,3,2024-03-19,71.7300033569336,2024-04-12,68.94,trailing_stop,4.311132384072939,4.31,False,,24,-12.01,-3.88,76.61,56.971901514391405,1.977455499091129,1497.09,0
HOOD,momentum_breakout,breakout,3,2024-03-27,20.01000022888184,2024-04-12,18.12,trailing_stop,15.426358153875347,15.43,False,,16,-29.2,-9.46,20.13,74.17102690972035,1.772315125352626,1497.09,0
FDX,momentum_breakout,breakout,3,2024-03-26,222.29928588867188,2024-04-16,204.47,stop_loss,0.5926994809418679,0.59,False,,21,-10.57,-8.02,222.88,77.00962476724662,1.8779398207860314,1497.09,0
NEM,momentum_breakout,breakout,3,2024-04-12,37.12408065795898,2024-04-25,41.71,bearish_divergence,8.065348607904605,8.07,False,,13,36.96,12.34,41.71,67.61161447822226,1.5189703592329549,1552.59,1
FCX,momentum_breakout,breakout,3,2024-04-04,47.66883087158203,2024-04-29,50.95,bearish_divergence,2.2472483122930846,2.25,False,,25,7.37,6.88,50.95,75.73601075601358,1.54556180467485,1578.67,1
FSLR,momentum_breakout,breakout,3,2024-04-17,178.00999450683594,2024-05-07,194.67,bearish_divergence,1.682625102027087,1.68,False,,20,28.03,9.36,194.67,59.74560753368437,1.7098607253737603,1604.24,1
CMG,momentum_breakout,breakout,3,2024-03-20,57.900001525878906,2024-05-10,64.78,bearish_divergence,5.390970832898197,5.39,False,,51,37.11,11.89,64.78,80.94984257525164,4.655068429598701,1612.04,1
MRK,momentum_breakout,breakout,3,2024-04-25,121.63224792480467,2024-05-28,117.53,stop_loss,2.552923161127141,2.55,False,,33,-10.47,-3.37,122.57,63.54596459733932,1.8157453077592953,1599.37,0
SO,momentum_breakout,breakout,3,2024-05-07,70.83382415771484,2024-06-04,74.98,bearish_divergence,4.529586025922363,4.53,False,,28,18.76,5.85,74.98,71.38767840717702,1.5795620463808306,1606.98,1
