date,equity,cash,positions,queue_size
2024-09-16,989.8,246.57,5,2
2024-09-17,988.3,246.57,5,1
2024-09-18,977.51,246.57,5,4
2024-09-19,979.11,246.57,5,6
2024-09-20,980.95,246.57,5,8
2024-09-23,980.67,315.2,4,18
2024-09-24,985.76,246.58,5,16
2024-09-25,975.01,246.58,5,15
2024-09-26,972.4,246.58,5,16
2024-09-27,968.73,246.58,5,15
2024-09-30,972.02,246.58,5,19
2024-10-01,949.87,246.58,5,19
2024-10-02,941.99,418.89,4,17
2024-10-03,945.17,234.75,5,11
2024-10-04,956.94,319.77,4,8
2024-10-07,951.55,238.07,5,9
2024-10-08,947.44,238.07,5,8
2024-10-09,948.0,238.07,5,6
2024-10-10,958.2,238.07,5,6
2024-10-11,963.87,238.07,5,8
2024-10-14,963.83,238.07,5,11
2024-10-15,964.94,238.07,5,10
2024-10-16,965.47,238.07,5,12
2024-10-17,965.33,238.07,5,13
2024-10-18,981.6,238.07,5,14
2024-10-21,974.04,238.07,5,14
2024-10-22,957.07,238.07,5,8
2024-10-23,948.59,238.07,5,4
2024-10-24,950.22,492.0,3,0
2024-10-25,950.16,302.34,4,0
2024-10-28,956.4,238.93,5,4
2024-10-29,966.25,238.93,5,9
2024-10-30,970.03,238.93,5,13
2024-10-31,945.86,238.93,5,16
2024-11-01,949.82,238.93,5,17
2024-11-04,942.71,238.93,5,24
2024-11-05,952.8,238.93,5,18
2024-11-06,983.1,238.93,5,18
2024-11-07,1005.73,238.93,5,35
2024-11-08,1024.01,278.71,5,45
2024-11-11,1020.23,278.71,5,53
2024-11-12,1013.9,344.11,4,61
2024-11-13,1011.8,253.16,5,49
2024-11-14,1004.33,342.38,4,43
2024-11-15,986.81,246.35,5,40
2024-11-18,980.85,246.35,5,46
2024-11-19,988.74,246.35,5,23
2024-11-20,989.92,491.31,3,15
2024-11-21,999.52,250.58,5,10
2024-11-22,1006.53,287.82,4,10
2024-11-25,1023.74,255.01,5,18
2024-11-26,1018.76,255.01,5,31
2024-11-27,1017.04,255.01,5,36
2024-11-29,1015.91,255.01,5,32
2024-12-02,1017.1,255.01,5,24
2024-12-03,1021.16,255.01,5,7
2024-12-04,1042.28,255.01,5,9
2024-12-05,1076.6,255.01,5,14
2024-12-06,1073.21,381.4,5,19
2024-12-09,1053.51,381.4,5,25
2024-12-10,1043.98,558.15,3,23
2024-12-11,1050.19,262.91,5,21
2024-12-12,1047.43,262.91,5,18
2024-12-13,1049.21,262.91,5,13
2024-12-16,1050.85,262.91,5,14
2024-12-17,1055.46,262.91,5,5
2024-12-18,1039.71,262.91,5,3
2024-12-19,1038.02,395.05,4,3
2024-12-20,1057.63,395.05,4,2
2024-12-23,1052.31,263.9,5,4
2024-12-24,1056.34,263.9,5,3
2024-12-26,1061.86,263.9,5,2
2024-12-27,1052.47,263.9,5,0
2024-12-30,1046.28,263.9,5,1
2024-12-31,1035.43,263.9,5,2
2025-01-02,1034.41,342.22,4,2
2025-01-03,1040.13,342.22,4,1
2025-01-06,1038.5,260.81,5,1
2025-01-07,1025.94,260.81,5,1
2025-01-08,1023.11,260.81,5,1
2025-01-10,1033.04,260.81,5,2
2025-01-13,1002.6,325.8,4,6
2025-01-14,1013.79,253.09,4,5
2025-01-15,1027.57,253.09,4,5
2025-01-16,1029.21,253.09,4,5
2025-01-17,1037.09,253.09,4,1
2025-01-21,1039.09,253.09,4,2
2025-01-22,1035.54,253.09,4,3
2025-01-23,1024.49,253.09,4,5
2025-01-24,1026.44,253.09,4,7
2025-01-27,1021.44,253.09,4,8
2025-01-28,1038.98,259.0,5,14
2025-01-29,1041.73,259.0,5,22
2025-01-30,1040.1,259.0,5,24
2025-01-31,1021.26,259.0,5,25
2025-02-03,998.26,431.8,4,30
2025-02-04,1001.3,568.3,3,13
2025-02-05,1012.54,366.61,4,8
2025-02-06,1007.14,251.1,5,6
2025-02-07,998.6,251.1,5,6
2025-02-10,1005.54,251.1,5,8
2025-02-11,998.11,251.1,5,11
2025-02-12,999.47,251.1,5,14
2025-02-13,1019.63,251.1,5,13
2025-02-14,1022.43,251.1,5,18
2025-02-18,1021.85,251.1,5,22
2025-02-19,989.47,251.1,5,16
2025-02-20,968.5,353.05,4,11
2025-02-21,950.96,237.43,5,12
2025-02-24,936.49,624.99,2,13
2025-02-25,930.33,731.35,1,8
2025-02-26,932.12,932.12,0,6
2025-02-27,932.12,932.12,0,1
2025-02-28,932.12,932.12,0,0
2025-03-03,932.27,745.7,1,0
2025-03-04,925.64,745.7,1,0
2025-03-05,935.51,560.21,2,0
2025-03-06,919.38,230.1,4,0
2025-03-07,922.0,398.85,3,0
2025-03-10,891.42,223.94,4,0
2025-03-11,889.53,223.94,4,0
2025-03-12,890.55,388.98,3,0
2025-03-13,888.16,565.96,2,0
2025-03-14,895.71,565.96,2,0
2025-03-17,902.47,565.96,2,0
2025-03-18,896.81,565.96,2,0
2025-03-19,900.98,565.96,2,0
2025-03-20,904.6,565.96,2,0
2025-03-21,896.49,565.96,2,0
2025-03-24,901.36,226.4,4,0
2025-03-25,904.58,226.4,4,0
2025-03-26,886.71,226.4,4,0
2025-03-27,880.31,226.4,4,0
2025-03-28,856.63,374.91,3,0
2025-03-31,847.52,508.39,2,0
2025-04-01,843.68,339.12,3,0
2025-04-02,850.9,503.8,2,0
2025-04-03,833.23,503.8,2,0
2025-04-04,822.19,656.46,1,0
2025-04-07,821.81,656.46,1,0
2025-04-08,814.49,656.46,1,0
2025-04-09,830.16,656.46,1,0
2025-04-10,826.8,656.46,1,0
2025-04-11,830.35,656.46,1,0
2025-04-14,830.58,656.46,1,0
2025-04-15,829.37,656.46,1,0
2025-04-16,827.41,656.46,1,0
2025-04-17,830.11,656.46,1,0
2025-04-21,824.75,656.46,1,0
2025-04-22,832.91,656.46,1,0
2025-04-23,830.25,656.46,1,0
2025-04-24,829.93,656.46,1,0
2025-04-25,827.78,656.46,1,0
2025-04-28,824.0,656.46,1,0
2025-04-29,822.13,492.1,2,0
2025-04-30,821.58,328.35,3,0
2025-05-01,817.72,328.35,3,0
2025-05-02,818.42,328.35,3,0
2025-05-05,817.68,328.35,3,0
2025-05-06,818.19,318.94,3,0
2025-05-07,820.37,318.94,3,0
2025-05-08,832.58,206.79,4,0
2025-05-09,839.42,206.79,4,1
2025-05-12,852.48,206.79,4,2
2025-05-13,859.64,206.79,4,8
2025-05-14,860.87,206.79,4,11
2025-05-15,864.02,206.79,4,14
2025-05-16,871.2,218.09,5,16
2025-05-19,866.17,218.09,5,20
2025-05-20,867.18,266.25,4,12
2025-05-21,847.56,212.87,5,11
2025-05-22,848.27,212.87,5,11
2025-05-23,845.04,258.44,4,13
2025-05-27,849.7,212.39,5,14
